timestamp,1d_1w,1m_3m,1w_1m,1y_2y,24h,2y_3y,3m_6m,3y_5y,5y_7y,6m_12m,7y_10y,more_10y
2012-12-31T00:00:00Z,0.0787947389302933,0.189017725120274,0.135356433304035,0.255559660120861,0.0506937803290906,0.00122145207609237,0.208191619908971,0.000687114612298554,0,0.0804774755980543,0,0
2013-01-01T00:00:00Z,0.0831553950721295,0.180000127722907,0.135987247849502,0.255539391438142,0.0460935943960073,0.00123905857955575,0.216272862996396,0.000688015228341094,0,0.081024306716988,0,0
2013-01-02T00:00:00Z,0.0799701165161754,0.179980953392691,0.131862779603218,0.255840679288581,0.0519703159999759,0.0012420682840729,0.217470855994617,0.000689231579540028,0,0.0809729993410981,0,0
2013-01-03T00:00:00Z,0.0773062422189657,0.1842448704744,0.123506506893067,0.256134945870064,0.0573327800145312,0.00124227848872597,0.217879872059753,0.000690352214715081,0,0.0816621517657452,0,0
2013-01-04T00:00:00Z,0.0805889772507919,0.183592131418196,0.118628748766098,0.256278453123529,0.0618271677578195,0.00124635773767179,0.215711893949453,0.000691329241899261,0,0.0814349407545104,0,0
2013-01-05T00:00:00Z,0.0836697512851165,0.18449920975963,0.118133007841778,0.256893722732136,0.057357566054186,0.00124552666985539,0.216237966913326,0.000692626808569315,0,0.0812706219353718,0,0
2013-01-06T00:00:00Z,0.0902518496540277,0.178325117980831,0.117349772114968,0.257259302917698,0.0489545738641369,0.00124584511989332,0.224247457694612,0.000694043878926823,0,0.0816720367748751,0,0
2013-01-07T00:00:00Z,0.0805233707091226,0.178624482218492,0.116246644452814,0.257811856471931,0.0581730928997098,0.00124476415146167,0.225292840860038,0.00069516842923714,0,0.081387779807162,0,0
2013-01-08T00:00:00Z,0.0822370650533942,0.174940336038804,0.109103820623337,0.257622228392512,0.0684170677465561,0.00124323982404186,0.224678896706714,0.000695280515242779,0,0.0810620650993653,0,0
2013-01-09T00:00:00Z,0.0861184675436409,0.176449592528812,0.110209575022726,0.257115457149936,0.0627957357629365,0.00125498437724189,0.22300909966754,0.000695748286231386,0,0.0823513396609015,0,0
2013-01-10T00:00:00Z,0.0918030868812451,0.173179046651831,0.108382976856381,0.256413268599795,0.0635257714885647,0.00125344258371389,0.21783638975518,0.000694803852540035,0,0.0869112133307151,0,0
2013-01-11T00:00:00Z,0.0873650915250512,0.173738877979612,0.113476634961623,0.256189678416581,0.0632277962238747,0.00125483026619554,0.21751610198654,0.000694275116484479,0,0.0865367135240034,0,0
2013-01-12T00:00:00Z,0.0921308029967863,0.180314512088107,0.109631166587517,0.256932914176564,0.0553272930403861,0.00128373820691211,0.217764401784587,0.000695294470479252,0,0.0859198766486276,0,0
2013-01-13T00:00:00Z,0.0937381770282409,0.181009702086862,0.109913312552421,0.256816923212236,0.0530874482285924,0.00138470133226973,0.214813973682169,0.000696040724706628,0,0.0885397211524698,0,0
2013-01-14T00:00:00Z,0.105195424562454,0.179000047685873,0.110195703681173,0.256816880625089,0.0426157154940583,0.00139405377255279,0.214987229502466,0.000696447470691436,0,0.0890984972056078,0,0
2013-01-15T00:00:00Z,0.0822697773543321,0.17045268691371,0.109287460440469,0.25637561702174,0.0713689833868674,0.0014011083166086,0.218912807804291,0.000695501918678497,0,0.0892360568432688,0,0
2013-01-16T00:00:00Z,0.0904318695128002,0.167508444579155,0.107764024074944,0.255770207576634,0.066080987149662,0.00150671531592258,0.221005063311204,0.000694336869106128,0,0.0892383516105386,0,0
2013-01-17T00:00:00Z,0.0828033846307198,0.172072075204275,0.103995937525656,0.254395958403004,0.0762106728368125,0.00150074525218784,0.21886396264742,0.000691013642379425,0,0.0894662498575115,0,0
2013-01-18T00:00:00Z,0.0903444263399075,0.172581899062998,0.104408922534077,0.25376103602788,0.071311204553732,0.00149460994084392,0.215505729504774,0.000688269549317143,0,0.089903902486436,0,0
2013-01-19T00:00:00Z,0.101904980163564,0.173008387240952,0.107154394206959,0.253291410762743,0.0575052341105209,0.00149693265529189,0.213743590435062,0.00068711156972229,0,0.091207958855151,0,0
2013-01-20T00:00:00Z,0.105657892585391,0.173813941146597,0.107647320506755,0.252815528139822,0.0534531708187143,0.00149652467668861,0.212609581093264,0.000687372249171494,0,0.0918186687835626,0,0
2013-01-21T00:00:00Z,0.105175666133804,0.167432374606013,0.106505241139285,0.251094935730444,0.0647191582049922,0.00149507071038506,0.210764184576081,0.000683989365727039,0,0.0921293795332351,0,0
2013-01-22T00:00:00Z,0.0909569036927567,0.162242883279417,0.107873298349522,0.248288928008427,0.0918247276745855,0.00148384408543706,0.205997243446556,0.000676290237368034,0,0.0906558812258962,0,0
2013-01-23T00:00:00Z,0.114230712452914,0.158964834923597,0.109398042204975,0.246984552820328,0.0730318015043455,0.00147802544357069,0.203454974743105,0.000674366397678276,0,0.0917826895094519,0,0
2013-01-24T00:00:00Z,0.105806316775708,0.154000726948975,0.112588081424326,0.244043129084088,0.0918878950355277,0.00146619585326598,0.198685846092941,0.000668667027960092,0,0.0908531417571743,0,0
2013-01-25T00:00:00Z,0.119422651036049,0.15478782971416,0.114659955738698,0.243285568439214,0.0778886089675727,0.00147061929084099,0.196763977065234,0.00066953562515011,0,0.0910512541230458,0,0
2013-01-26T00:00:00Z,0.124298882710846,0.154796695982643,0.113783579061253,0.242340309377774,0.0762924669529481,0.00147069686156043,0.194342729970445,0.000669500999278113,0,0.0920051380832165,0,0
