timestamp,buy,capitulation,crossed,ma30,ma60
2012-12-31T00:00:00Z,0,1,0,21705471565746.098,22721287554803.86
2013-01-01T00:00:00Z,0,1,0,21712288477682.98,22735493571760.055
2013-01-02T00:00:00Z,0,1,0,21641220107770.945,22730107123690.48
2013-01-03T00:00:00Z,0,1,0,21803338478359.555,22720739326895.523
2013-01-04T00:00:00Z,0,1,0,21897989086010.93,22687042527233.875
2013-01-05T00:00:00Z,0,1,0,21840423812888.242,22692353226732.367
2013-01-06T00:00:00Z,0,1,0,21834918642300.586,22638586764664.77
2013-01-07T00:00:00Z,0,1,0,21907076427025.043,22628520386200.51
2013-01-08T00:00:00Z,0,1,0,21873325088414.145,22589733153400.207
2013-01-09T00:00:00Z,0,1,0,21784298006035.355,22553221538090.43
2013-01-10T00:00:00Z,0,1,0,21787421170596.465,22577032583946.105
2013-01-11T00:00:00Z,0,1,0,21690357317560.875,22533863314479.85
2013-01-12T00:00:00Z,0,1,0,21644501875108.3,22476377062898.785
2013-01-13T00:00:00Z,0,1,0,21769963938821.18,22450747769914.246
2013-01-14T00:00:00Z,0,1,0,21954404842187.613,22490069206213.316
2013-01-15T00:00:00Z,0,1,0,21981612486386.098,22432439019652.81
2013-01-16T00:00:00Z,0,1,0,21951560496110.39,22409977420270.883
2013-01-17T00:00:00Z,0,1,0,21852183560942.816,22313632706361.14
2013-01-18T00:00:00Z,0,1,0,21713794879352.4,22237662792514.266
2013-01-19T00:00:00Z,0,1,0,21938919170293.332,22279289391301.26
2013-01-20T00:00:00Z,0,1,0,21918523709836.555,22202396925405.46
2013-01-21T00:00:00Z,0,1,0,21768440640988.83,22168043675404.01
2013-01-22T00:00:00Z,0,1,0,21852533960740.08,22113388410498.492
2013-01-23T00:00:00Z,0,1,0,21804132631213.2,22033265514054.633
2013-01-24T00:00:00Z,0,1,0,21881184866608.477,22017666360028.047
2013-01-25T00:00:00Z,0,1,0,21731494935586.52,21921415765034.38
2013-01-26T00:00:00Z,0,1,0,21755384743734.582,21900522491088.484
2013-01-27T00:00:00Z,0,1,0,21681647963735.797,21797112310069.64
2013-01-28T00:00:00Z,0,1,0,21693579996411.316,21701291191598.76
2013-01-29T00:00:00Z,0,1,0,21651829562644.234,21730167115208.395
2013-01-30T00:00:00Z,0,1,0,21622184836343.402,21663828201044.746
2013-01-31T00:00:00Z,1,0,1,21748223962576.277,21730256220129.63
2013-02-01T00:00:00Z,0,0,0,21712021660832.61,21676620884301.773
2013-02-02T00:00:00Z,0,1,1,21670771220923.43,21737054849641.49
2013-02-03T00:00:00Z,0,1,0,21831775317354.426,21864882201682.676
2013-02-04T00:00:00Z,1,0,1,21953887431357.26,21897155622122.75
2013-02-05T00:00:00Z,0,0,0,22077994757390.6,21956456699845.59
2013-02-06T00:00:00Z,0,0,0,22044827292729.45,21975951859877.242
2013-02-07T00:00:00Z,0,0,0,22193261229232.746,22033293158823.445
2013-02-08T00:00:00Z,0,0,0,22313475302432.625,22048886654233.992
