timestamp,binance,bitfinex,bithumb,bitmex,bitstamp,bittrex,bybit,coinbase,coincheck,crypto.com,deribit,ftx,gate.io,gemini,hitbtc,huobi,kraken,kucoin,luno,okex,poloniex
2018-12-15T00:00:00Z,215663.38662772,360515.27554526,42161.68223922,229718.56346318,164523.50976564,137775.05415012,17.94951522,900644.28257942,32101.68853775,,8675.58769747,0.00145401,7745.09750074,121869.1934388,93082.65885871,152295.99222215,143569.19951715,652.43308833,20077.36732514,61975.55848049,52764.15093529
2018-12-16T00:00:00Z,215354.25728649,361055.79656177,42118.71601906,229384.01909804,164870.11160421,137659.8754595,1.04159045,900491.11910585,32114.07021673,,8666.22193136,0.00145401,7699.16764714,121845.19299051,93163.14164958,152444.90814885,143566.21186318,662.64953629,20031.90197256,61907.84586585,52869.08567926
2018-12-17T00:00:00Z,216558.28422781,359788.92734173,42129.40911397,230489.13960424,164857.68026145,137474.07783515,5.56670887,900766.96147622,32433.5047406,,8818.36937012,0.00145401,7501.97428809,123531.38840199,94014.59814129,153042.77536336,145335.07846356,598.53570099,19971.94308945,63294.44584723,52905.78998371
2018-12-18T00:00:00Z,217321.24058534,362244.69201661,32490.15287224,229693.02482538,167615.33997892,137703.80355494,1.16527739,900763.47138413,32363.75416375,,8827.49580985,0.00145401,7496.05713683,122976.16560281,93362.29164367,150732.30885892,147444.54111732,526.26392383,19916.22188341,62805.97788372,52681.1754207
2018-12-19T00:00:00Z,216543.37079254,366184.07327266,32372.0233729,230090.56145825,174174.86829909,137901.41980713,1.10453333,900771.36511348,32041.17788044,,9067.98924665,0.00145401,7137.14931783,122541.44928718,94335.84878981,149029.23231209,146357.5717176,447.59074046,20133.13417393,62512.47763036,53819.17128662
2018-12-20T00:00:00Z,216204.16649643,373274.78009387,32319.88235613,232210.17789646,175926.41296031,136682.81068823,6.04667992,901834.89164383,32040.23389615,,9052.48137603,0.00145401,6924.31753325,124087.8793861,93242.49026024,149058.7776679,147734.65751536,261.68898157,20184.49303005,61183.33158056,54650.45283461
2018-12-21T00:00:00Z,217354.08343183,372334.98689479,45665.76343953,232264.88782631,175186.26673798,136128.50775471,1.39826972,903462.14898579,31990.08839813,,9084.45217987,0.00145401,7118.27486921,123810.75113344,93516.23620938,150760.01726457,147418.26726998,383.5470223,20087.74245802,62135.11053087,55471.12485778
2018-12-22T00:00:00Z,218495.82482491,374413.99697585,45140.72666436,231136.79619479,176261.23958214,136274.3419056,1.49414397,903214.48359274,32053.47747467,,9131.11402045,0.00145401,7087.72491913,123718.05518976,93378.71536746,149073.65105301,147082.09848114,294.79888014,20078.45636927,62293.81871693,54105.14130457
2018-12-23T00:00:00Z,221856.28269379,371871.03733011,45597.75839818,231754.33756162,174834.21381169,136296.8496426,1.23665401,903198.99530154,32004.41676621,,9133.56266184,0.00145401,7122.92418991,123151.88329427,92691.14396449,149099.35243017,147718.87716654,376.21247809,19953.12526968,62656.12836297,59373.18689311
2018-12-24T00:00:00Z,224094.05261681,372357.30539654,44907.50241286,231962.76769259,175770.98084281,136305.38722196,1.04074653,903776.29301575,32030.14419761,,9198.62568393,0.00145401,7148.46044899,124541.2543856,92947.28176908,149718.62818153,149696.74609022,356.23616613,19914.32897848,62004.32911472,57435.14288293
